// www.DarksTeam.NET
// type, index, level, skill, luck, option
0	10	7	0	0	0
0	11	7	0	0	0
0	13	7	0	0	0
1	6	7	0	0	0
1	7	7	0	0	0
2	3	7	0	0	0
3	7	7	0	0	0
3	0	7	0	0	0
3	4	7	0	0	0
4	11	7	0	0	0
4	4	7	0	0	0
4	12	7	0	0	0
5	3	7	0	0	0
6	5	7	0	0	0
6	8	7	0	0	0
6	11	7	0	0	0
7	8	7	0	0	0
7	9	7	0	0	0
7	7	7	0	0	0
7	12	7	0	0	0
7	13	7	0	0	0
8	8	7	0	0	0
8	9	7	0	0	0
8	7	7	0	0	0
8	12	7	0	0	0
8	13	7	0	0	0
9	8	7	0	0	0
9	9	7	0	0	0
9	7	7	0	0	0
9	12	7	0	0	0
9	13	7	0	0	0
10	8	7	0	0	0
10	9	7	0	0	0
10	7	7	0	0	0
10	12	7	0	0	0
10	13	7	0	0	0
11	8	7	0	0	0
11	9	7	0	0	0
11	7	7	0	0	0
11	12	7	0	0	0
11	13	7	0	0	0
13	0	0	0	0	0
13	1	0	0	0	0
13	2	0	0	0	0
13	8	0	0	0	2
13	9	0	0	0	2
13	12	0	0	0	2
13	13	0	0	0	2
14	13	0	0	0	0
14	14	0	0	0	0
12	15	0	0	0	0
